"MethodName","Zone","Period","Time"
"averageARIMA","zone.4","period 1",7.0205960273742
"averageARIMA","zone.1","period 1",7.5912315845489
"averageARIMA","zone.2","period 1",7.777709960937
"averageARIMA","zone.7","period 1",7.7900884151458
"averageARIMA","zone.3","period 1",7.9225883483886
"averageARIMA","zone.5","period 1",7.938012599945
"averageARIMA","zone.8","period 1",7.8874096870422
"averageARIMA","zone.6","period 1",7.9772708415985
"averageARIMA","zone.4","period 2",4.8071880340576
"averageARIMA","zone.5","period 2",5.0300800800323
"averageARIMA","zone.3","period 2",6.5946164131164
"averageARIMA","zone.7","period 2",6.699672460556
"averageARIMA","zone.2","period 2",7.010287046432
"averageARIMA","zone.6","period 2",6.8385519981384
"averageARIMA","zone.8","period 2",8.0970959663391
"averageARIMA","zone.5","period 3",4.4975001811981
"averageARIMA","zone.8","period 3",4.1201064586639
"averageARIMA","zone.3","period 3",5.939929485321
"averageARIMA","zone.7","period 3",6.1255049705505
"averageARIMA","zone.2","period 3",6.1296513080596
"averageARIMA","zone.6","period 3",6.2639734745025
"averageARIMA","zone.5","period 4",6.2748615741729
"averageARIMA","zone.8","period 4",4.5169913768768
"averageARIMA","zone.3","period 4",5.5236403942108
"averageARIMA","zone.7","period 4",5.5663232803344
"averageARIMA","zone.2","period 4",5.7144322395324
"averageARIMA","zone.6","period 4",5.567927122116
"averageARIMA","zone.4","period 3",16.6334695816
"averageARIMA","zone.16","period 1",4.860883235931
"averageARIMA","zone.11","period 1",5.0764691829681
"averageARIMA","zone.14","period 1",5.0649383068084
"averageARIMA","zone.15","period 1",6.1170144081115
"averageARIMA","zone.4","period 4",4.949245929718
"averageARIMA","zone.13","period 1",9.8717994689941
"averageARIMA","zone.11","period 2",3.9443914890289
"averageARIMA","zone.14","period 2",4.0959458351135
"averageARIMA","zone.16","period 2",7.1052241325378
"averageARIMA","zone.12","period 1",4.176878452301
"averageARIMA","zone.13","period 2",4.2087693214416
"averageARIMA","zone.15","period 2",6.3486368656158
"averageARIMA","zone.11","period 3",4.2046964168548
"averageARIMA","zone.1","period 2",32.39032196998
"averageARIMA","zone.14","period 3",4.260008573532
"averageARIMA","zone.10","period 1",15.314716339111
"averageARIMA","zone.11","period 4",4.5685107707977
"averageARIMA","zone.12","period 2",6.4552969932556
"averageARIMA","zone.15","period 3",5.4406116008758
"averageARIMA","zone.16","period 3",8.266185760498
"averageARIMA","zone.14","period 4",5.9681570529937
"averageARIMA","zone.10","period 2",4.336214780807
"averageARIMA","zone.1","period 3",7.9024724960327
"averageARIMA","zone.13","period 3",10.39464282989
"averageARIMA","zone.12","period 3",4.6178932189941
"averageARIMA","zone.15","period 4",5.0244486331939
"averageARIMA","zone.10","period 3",4.4032380580902
"averageARIMA","zone.16","period 4",5.853150606155
"averageARIMA","zone.13","period 4",4.0651772022247
"averageARIMA","zone.10","period 4",3.6956734657287
"averageARIMA","zone.12","period 4",5.9958086013793
"averageARIMA","zone.1","period 4",8.2328262329101
"averageARIMA","zone.18","period 1",3.0605542659759
"averageARIMA","zone.20","period 1",4.7973825931549
"averageARIMA","zone.9","period 1",5.137265920639
"averageARIMA","zone.18","period 2",4.4080412387847
"averageARIMA","zone.20","period 2",4.2408900260925
"averageARIMA","zone.9","period 2",3.3715879917144
"averageARIMA","zone.18","period 3",3.6916055679321
"averageARIMA","zone.9","period 3",2.7800598144531
"averageARIMA","zone.19","period 1",23.628995418548
"averageARIMA","zone.20","period 3",3.8154695034027
"averageARIMA","zone.18","period 4",4.3902139663696
"averageARIMA","zone.9","period 4",4.3901417255401
"averageARIMA","zone.20","period 4",4.5499773025512
"averageARIMA","zone.19","period 2",4.7331342697143
"averageARIMA","zone.19","period 3",3.3458824157714
"averageARIMA","zone.17","period 1",4.8560435771942
"averageARIMA","zone.19","period 4",3.7415747642517
"averageARIMA","zone.17","period 2",2.7730906009674
"averageARIMA","zone.17","period 3",4.0011093616485
"averageARIMA","zone.17","period 4",4.4082534313201
"OriginalDSHW","zone.1","period 1",72.658637285232
"OriginalDSHW","zone.6","period 1",80.638325691223
"OriginalDSHW","zone.3","period 1",89.993876218795
"OriginalDSHW","zone.4","period 1",90.42592000961
"OriginalDSHW","zone.7","period 1",90.510088920593
"OriginalDSHW","zone.2","period 1",91.11959028244
"OriginalDSHW","zone.8","period 1",92.288523674011
"OriginalDSHW","zone.5","period 1",156.33474183082
"OriginalDSHW","zone.3","period 2",80.23468255996
"OriginalDSHW","zone.7","period 2",80.946875572204
"OriginalDSHW","zone.2","period 2",80.929236173629
"OriginalDSHW","zone.1","period 2",101.85996913909
"OriginalDSHW","zone.6","period 2",101.12781715393
"OriginalDSHW","zone.8","period 2",132.7781777381
"OriginalDSHW","zone.4","period 2",139.79539585113
"OriginalDSHW","zone.5","period 2",75.419371604919
"OriginalDSHW","zone.3","period 3",93.36133480072
"OriginalDSHW","zone.7","period 3",94.086149454116
"OriginalDSHW","zone.2","period 3",93.882596731185
"OriginalDSHW","zone.6","period 3",86.433688163757
"OriginalDSHW","zone.1","period 3",106.36222457885
"OriginalDSHW","zone.4","period 3",106.68198394775
"OriginalDSHW","zone.5","period 3",106.09478449821
"OriginalDSHW","zone.2","period 4",112.97993636131
"OriginalDSHW","zone.3","period 4",131.67264080047
"OriginalDSHW","zone.7","period 4",132.46717405319
"OriginalDSHW","zone.8","period 3",174.46397876739
"OriginalDSHW","zone.5","period 4",100.85226273536
"OriginalDSHW","zone.6","period 4",176.47374606132
"OriginalDSHW","zone.10","period 1",73.946315050125
"OriginalDSHW","zone.4","period 4",118.07440590858
"OriginalDSHW","zone.1","period 4",177.42171001434
"OriginalDSHW","zone.8","period 4",91.686321735382
"OriginalDSHW","zone.15","period 1",108.3874151706
"OriginalDSHW","zone.11","period 1",115.39890670776
"OriginalDSHW","zone.13","period 1",77.358333349227
"OriginalDSHW","zone.12","period 1",92.805357456207
"OriginalDSHW","zone.9","period 1",105.2110214233
"OriginalDSHW","zone.16","period 1",91.926682710647
"OriginalDSHW","zone.15","period 2",78.113253355026
"OriginalDSHW","zone.10","period 2",136.47411394119
"OriginalDSHW","zone.14","period 1",151.70726418495
"OriginalDSHW","zone.11","period 2",91.936298370361
"OriginalDSHW","zone.13","period 2",89.596130132675
"OriginalDSHW","zone.12","period 2",80.742319822311
"OriginalDSHW","zone.9","period 2",82.083702564239
"OriginalDSHW","zone.16","period 2",77.43695735931
"OriginalDSHW","zone.10","period 3",73.883465290069
"OriginalDSHW","zone.14","period 2",77.998504400253
"OriginalDSHW","zone.15","period 3",93.464455366134
"OriginalDSHW","zone.11","period 3",84.356323957443
"OriginalDSHW","zone.12","period 3",77.882365942001
"OriginalDSHW","zone.13","period 3",136.80262947082
"OriginalDSHW","zone.16","period 3",87.11831665039
"OriginalDSHW","zone.10","period 4",112.91069006919
"OriginalDSHW","zone.11","period 4",93.3362224102
"OriginalDSHW","zone.15","period 4",102.56748890876
"OriginalDSHW","zone.14","period 3",115.96729779243
"OriginalDSHW","zone.13","period 4",85.912720918655
"OriginalDSHW","zone.12","period 4",130.49873876571
"OriginalDSHW","zone.16","period 4",98.374905109405
"OriginalDSHW","zone.17","period 1",95.921630382537
"OriginalDSHW","zone.18","period 1",104.99082684516
"OriginalDSHW","zone.20","period 1",52.504139661788
"OriginalDSHW","zone.19","period 1",116.77736282348
"OriginalDSHW","zone.14","period 4",118.11948084831
"OriginalDSHW","zone.18","period 2",56.19234585762
"OriginalDSHW","zone.19","period 2",62.135657072067
"OriginalDSHW","zone.20","period 2",74.510874986648
"OriginalDSHW","zone.17","period 2",138.04069256782
"OriginalDSHW","zone.18","period 3",73.823186635971
"OriginalDSHW","zone.20","period 3",58.421458005905
"OriginalDSHW","zone.19","period 3",89.320306539535
"OriginalDSHW","zone.17","period 3",56.734495162963
"OriginalDSHW","zone.20","period 4",71.083474874496
"OriginalDSHW","zone.17","period 4",55.201663017272
"OriginalDSHW","zone.19","period 4",71.915549516677
"OriginalDSHW","zone.18","period 4",114.20893502235
"ModifiedDSHW","zone.8","period 1",104.6995639801
"ModifiedDSHW","zone.5","period 1",116.99443030357
"ModifiedDSHW","zone.1","period 1",123.3770017623
"ModifiedDSHW","zone.2","period 1",151.48999905586
"ModifiedDSHW","zone.3","period 1",151.70786809921
"ModifiedDSHW","zone.7","period 1",151.99620652198
"ModifiedDSHW","zone.6","period 1",181.47548627853
"ModifiedDSHW","zone.4","period 1",203.57205057144
"ModifiedDSHW","zone.8","period 2",155.52980685234
"ModifiedDSHW","zone.5","period 2",188.18120360374
"ModifiedDSHW","zone.1","period 2",182.56581616401
"ModifiedDSHW","zone.6","period 2",136.60026097297
"ModifiedDSHW","zone.3","period 2",228.69651126861
"ModifiedDSHW","zone.2","period 2",229.07512855529
"ModifiedDSHW","zone.7","period 2",229.18200159072
"ModifiedDSHW","zone.5","period 3",108.3375313282
"ModifiedDSHW","zone.8","period 3",168.86814498901
"ModifiedDSHW","zone.4","period 2",269.04056644439
"ModifiedDSHW","zone.6","period 3",174.12998390197
"ModifiedDSHW","zone.1","period 3",200.61740565
"ModifiedDSHW","zone.3","period 3",145.44862389564
"ModifiedDSHW","zone.2","period 3",145.63377046585
"ModifiedDSHW","zone.7","period 3",145.69410800933
"ModifiedDSHW","zone.5","period 4",199.75038528442
"ModifiedDSHW","zone.8","period 4",238.86065411567
"ModifiedDSHW","zone.6","period 4",189.29850792884
"ModifiedDSHW","zone.1","period 4",247.24387955665
"ModifiedDSHW","zone.13","period 1",155.66270685195
"ModifiedDSHW","zone.16","period 1",136.89863300323
"ModifiedDSHW","zone.14","period 1",131.34696292877
"ModifiedDSHW","zone.3","period 4",361.96346378326
"ModifiedDSHW","zone.7","period 4",362.14568543434
"ModifiedDSHW","zone.4","period 3",423.76843357086
"ModifiedDSHW","zone.2","period 4",376.66719341278
"ModifiedDSHW","zone.16","period 2",101.10981512069
"ModifiedDSHW","zone.9","period 1",153.13586068153
"ModifiedDSHW","zone.13","period 2",152.43971419334
"ModifiedDSHW","zone.14","period 2",157.8007745742
"ModifiedDSHW","zone.15","period 1",85.255802869796
"ModifiedDSHW","zone.11","period 1",97.919982910156
"ModifiedDSHW","zone.10","period 1",125.26113271713
"ModifiedDSHW","zone.13","period 3",140.1517393589
"ModifiedDSHW","zone.16","period 3",158.76564550399
"ModifiedDSHW","zone.9","period 2",177.12434554
"ModifiedDSHW","zone.4","period 4",224.86641645431
"ModifiedDSHW","zone.13","period 4",130.27182531356
"ModifiedDSHW","zone.11","period 2",216.30817532539
"ModifiedDSHW","zone.14","period 3",251.0006570816
"ModifiedDSHW","zone.16","period 4",179.58732700347
"ModifiedDSHW","zone.10","period 2",227.08854103088
"ModifiedDSHW","zone.12","period 1",140.71761918067
"ModifiedDSHW","zone.15","period 2",297.75817465782
"ModifiedDSHW","zone.17","period 1",118.09148335456
"ModifiedDSHW","zone.15","period 3",79.835400342941
"ModifiedDSHW","zone.10","period 3",108.43069553375
"ModifiedDSHW","zone.14","period 4",142.7521173954
"ModifiedDSHW","zone.17","period 2",86.351555347442
"ModifiedDSHW","zone.12","period 2",125.48636388778
"ModifiedDSHW","zone.11","period 3",220.36619162559
"ModifiedDSHW","zone.10","period 4",111.83384156227
"ModifiedDSHW","zone.15","period 4",126.12744569778
"ModifiedDSHW","zone.17","period 3",123.65717101097
"ModifiedDSHW","zone.12","period 3",131.26206159591
"ModifiedDSHW","zone.11","period 4",101.42210531234
"ModifiedDSHW","zone.18","period 1",78.965503215789
"ModifiedDSHW","zone.17","period 4",106.96917533874
"ModifiedDSHW","zone.12","period 4",107.62117147445
"ModifiedDSHW","zone.19","period 1",103.42622947692
"ModifiedDSHW","zone.18","period 2",118.63072872161
"ModifiedDSHW","zone.18","period 3",69.130095958709
"ModifiedDSHW","zone.20","period 1",136.6663277149
"ModifiedDSHW","zone.19","period 2",154.1592988967
"ModifiedDSHW","zone.18","period 4",87.4546351432
"ModifiedDSHW","zone.20","period 2",178.9090857505
"ModifiedDSHW","zone.19","period 3",286.34750604629
"ModifiedDSHW","zone.20","period 3",173.56481003761
"ModifiedDSHW","zone.19","period 4",107.06895756721
"ModifiedDSHW","zone.20","period 4",148.85666036605
"semiParametric","zone.8","period 1",68.184902667999
"semiParametric","zone.1","period 1",96.580785751342
"semiParametric","zone.7","period 1",101.31819891929
"semiParametric","zone.2","period 1",108.02397036552
"semiParametric","zone.6","period 1",109.6656820774
"semiParametric","zone.3","period 1",124.52691555023
"semiParametric","zone.4","period 1",124.92083096504
"semiParametric","zone.8","period 2",106.30715775489
"semiParametric","zone.7","period 2",82.877517938613
"semiParametric","zone.2","period 2",83.050429105758
"semiParametric","zone.6","period 2",99.208673238754
"semiParametric","zone.3","period 2",89.508064270019
"semiParametric","zone.4","period 2",92.073899984359
"semiParametric","zone.5","period 1",230.92525815963
"semiParametric","zone.1","period 2",138.7615263462
"semiParametric","zone.8","period 3",94.469823598861
"semiParametric","zone.7","period 3",86.713750123977
"semiParametric","zone.2","period 3",86.507143020629
"semiParametric","zone.4","period 3",72.217993974685
"semiParametric","zone.6","period 3",81.456615209579
"semiParametric","zone.3","period 3",84.378089904785
"semiParametric","zone.1","period 3",117.9771060943
"semiParametric","zone.4","period 4",70.344183444976
"semiParametric","zone.8","period 4",100.95798516273
"semiParametric","zone.5","period 2",163.0565919876
"semiParametric","zone.2","period 4",120.24325871467
"semiParametric","zone.7","period 4",131.1677002906
"semiParametric","zone.6","period 4",115.63836932182
"semiParametric","zone.12","period 1",71.042380094528
"semiParametric","zone.1","period 4",116.13229489326
"semiParametric","zone.3","period 4",180.52407956123
"semiParametric","zone.15","period 1",79.3539249897
"semiParametric","zone.10","period 1",88.22697520256
"semiParametric","zone.12","period 2",79.214857578277
"semiParametric","zone.11","period 1",68.798132181167
"semiParametric","zone.9","period 1",79.863715410232
"semiParametric","zone.15","period 2",75.101621866226
"semiParametric","zone.14","period 1",160.6108443737
"semiParametric","zone.5","period 3",189.3855743408
"semiParametric","zone.10","period 2",91.778761148452
"semiParametric","zone.12","period 3",83.588736772537
"semiParametric","zone.16","period 1",229.5270037651
"semiParametric","zone.11","period 2",75.669442415237
"semiParametric","zone.9","period 2",75.92998433113
"semiParametric","zone.15","period 3",83.626973628997
"semiParametric","zone.10","period 3",101.95943140983
"semiParametric","zone.12","period 4",92.056041240692
"semiParametric","zone.11","period 3",83.338464260101
"semiParametric","zone.14","period 2",145.80411577224
"semiParametric","zone.5","period 4",143.40460968017
"semiParametric","zone.9","period 3",97.458455085754
"semiParametric","zone.15","period 4",110.96035981178
"semiParametric","zone.10","period 4",89.200170278549
"semiParametric","zone.16","period 2",186.2260210514
"semiParametric","zone.20","period 1",101.6015548706
"semiParametric","zone.11","period 4",89.594674825668
"semiParametric","zone.14","period 3",117.40263485908
"semiParametric","zone.13","period 1",111.6344585418
"semiParametric","zone.9","period 4",122.33329343795
"semiParametric","zone.20","period 2",91.523008346557
"semiParametric","zone.19","period 1",87.492779493331
"semiParametric","zone.13","period 2",85.4323067665
"semiParametric","zone.16","period 3",156.76967406272
"semiParametric","zone.18","period 1",173.3818023204
"semiParametric","zone.20","period 3",67.669742822647
"semiParametric","zone.19","period 2",87.587764501571
"semiParametric","zone.13","period 3",79.630728960037
"semiParametric","zone.17","period 1",162.48809599876
"semiParametric","zone.14","period 4",186.89525365829
"semiParametric","zone.20","period 4",85.42967391014
"semiParametric","zone.13","period 4",56.732637882232
"semiParametric","zone.19","period 3",84.331614017486
"semiParametric","zone.16","period 4",132.76149201393
"semiParametric","zone.18","period 2",159.13310885429
"semiParametric","zone.19","period 4",59.004745006561
"semiParametric","zone.17","period 2",185.54243707656
"semiParametric","zone.17","period 3",104.40851283073
"semiParametric","zone.18","period 3",199.13863945007
"semiParametric","zone.18","period 4",120.67932033538
"semiParametric","zone.17","period 4",140.57318329811
"TBATS","zone.1","period 1",62.444951295852
"TBATS","zone.4","period 1",77.925678014755
"TBATS","zone.8","period 1",83.017407894134
"TBATS","zone.6","period 1",90.633274078369
"TBATS","zone.3","period 1",108.15790700912
"TBATS","zone.7","period 1",108.49588751792
"TBATS","zone.1","period 2",62.916729450225
"TBATS","zone.5","period 1",132.67999696731
"TBATS","zone.2","period 1",149.66355371475
"TBATS","zone.8","period 2",73.358135938644
"TBATS","zone.4","period 2",90.222662210464
"TBATS","zone.6","period 2",78.607539892196
"TBATS","zone.3","period 2",92.994725465774
"TBATS","zone.7","period 2",92.85282588005
"TBATS","zone.8","period 3",84.169065237045
"TBATS","zone.6","period 3",97.48030257225
"TBATS","zone.5","period 2",149.94730472564
"TBATS","zone.1","period 3",161.15984272956
"TBATS","zone.2","period 2",145.50850081443
"TBATS","zone.4","period 3",131.27235364913
"TBATS","zone.6","period 4",63.585095882415
"TBATS","zone.8","period 4",96.910433292388
"TBATS","zone.4","period 4",59.937225341796
"TBATS","zone.14","period 1",46.54081511497
"TBATS","zone.16","period 1",55.394810199737
"TBATS","zone.1","period 4",112.36470293998
"TBATS","zone.5","period 3",142.128938198
"TBATS","zone.3","period 3",279.89532542228
"TBATS","zone.7","period 3",279.95764136314
"TBATS","zone.14","period 2",109.15465998649
"TBATS","zone.2","period 3",212.404105663
"TBATS","zone.14","period 3",40.369853258132
"TBATS","zone.9","period 1",135.36364650726
"TBATS","zone.16","period 2",142.82476282119
"TBATS","zone.3","period 4",62.98750925064
"TBATS","zone.7","period 4",63.104237556457
"TBATS","zone.5","period 4",137.84883189201
"TBATS","zone.12","period 1",205.56998300552
"TBATS","zone.2","period 4",66.233498573303
"TBATS","zone.14","period 4",72.27715229988
"TBATS","zone.15","period 1",55.364808797836
"TBATS","zone.13","period 1",46.718086004257
"TBATS","zone.10","period 1",80.577014923095
"TBATS","zone.12","period 2",106.68976902961
"TBATS","zone.9","period 2",153.25322413444
"TBATS","zone.16","period 3",155.69945096969
"TBATS","zone.15","period 2",98.940452575683
"TBATS","zone.11","period 1",185.6911945343
"TBATS","zone.13","period 2",121.4458847045
"TBATS","zone.10","period 2",106.40858459472
"TBATS","zone.9","period 3",93.291870594024
"TBATS","zone.16","period 4",105.05450677871
"TBATS","zone.13","period 3",67.47671031951
"TBATS","zone.15","period 3",103.0962047576
"TBATS","zone.11","period 2",78.901439428329
"TBATS","zone.9","period 4",40.06965136528
"TBATS","zone.13","period 4",40.321294546127
"TBATS","zone.10","period 3",82.000975608825
"TBATS","zone.12","period 3",178.17034626007
"TBATS","zone.15","period 4",63.092938661575
"TBATS","zone.17","period 1",56.784885644912
"TBATS","zone.10","period 4",46.650456190109
"TBATS","zone.18","period 1",21.66272115707
"TBATS","zone.17","period 2",55.367942333221
"TBATS","zone.11","period 3",149.89587283134
"TBATS","zone.18","period 2",73.574375391006
"TBATS","zone.12","period 4",138.84137678146
"TBATS","zone.17","period 3",95.755777835845
"TBATS","zone.20","period 1",47.803462743759
"TBATS","zone.11","period 4",118.6206960678
"TBATS","zone.18","period 3",98.698778390884
"TBATS","zone.17","period 4",70.516488552093
"TBATS","zone.20","period 2",63.667036294937
"TBATS","zone.19","period 1",31.976227521896
"TBATS","zone.18","period 4",72.392097949981
"TBATS","zone.20","period 3",73.428254842758
"TBATS","zone.19","period 2",74.273647785186
"TBATS","zone.20","period 4",42.071804761886
"TBATS","zone.19","period 3",65.564652204513
"TBATS","zone.19","period 4",32.895696401596
"randomforest","zone.1","period 1",1453.90800285338
"randomforest","zone.1","period 2",1574.80552291864
"randomforest","zone.1","period 3",1627.67279052732
"randomforest","zone.1","period 4",1677.67237854002
"randomforest","zone.10","period 1",1420.30975723265
"randomforest","zone.10","period 2",1594.77916145259
"randomforest","zone.10","period 3",1585.98012351988
"randomforest","zone.10","period 4",1672.88493347166
"randomforest","zone.11","period 1",1552.75704193114
"randomforest","zone.11","period 2",1761.71675109862
"randomforest","zone.11","period 3",1767.87228775023
"randomforest","zone.11","period 4",1879.54352188107
"randomforest","zone.12","period 1",1550.23045539847
"randomforest","zone.12","period 2",1778.50096893309
"randomforest","zone.12","period 3",1767.20350646969
"randomforest","zone.12","period 4",1881.85787010188
"randomforest","zone.13","period 1",1393.62106323241
"randomforest","zone.13","period 2",1560.31786346434
"randomforest","zone.13","period 3",1587.44338035581
"randomforest","zone.13","period 4",1655.11440849302
"randomforest","zone.14","period 1",1411.83441925048
"randomforest","zone.14","period 2",1575.60258483885
"randomforest","zone.14","period 3",1569.70283699032
"randomforest","zone.14","period 4",1647.99230384826
"randomforest","zone.15","period 1",1499.80420875532
"randomforest","zone.15","period 2",1694.51238822932
"randomforest","zone.15","period 3",1689.85192680358
"randomforest","zone.15","period 4",1793.83972167968
"randomforest","zone.16","period 1",1471.2283592224
"randomforest","zone.16","period 2",1616.33897018431
"randomforest","zone.16","period 3",1665.71878051757
"randomforest","zone.16","period 4",1712.19337654112
"randomforest","zone.17","period 1",1425.23754310606
"randomforest","zone.17","period 2",1568.62345886214
"randomforest","zone.17","period 3",1601.97925186156
"randomforest","zone.17","period 4",1644.88850975035
"randomforest","zone.18","period 1",1592.37423133847
"randomforest","zone.18","period 2",1748.56369972227
"randomforest","zone.18","period 3",1792.28291320799
"randomforest","zone.18","period 4",1887.69760513303
"randomforest","zone.19","period 1",1528.08423614496
"randomforest","zone.19","period 2",1709.21730041501
"randomforest","zone.19","period 3",1746.21518898009
"randomforest","zone.19","period 4",1801.85915756223
"randomforest","zone.2","period 1",1619.56726455687
"randomforest","zone.2","period 2",1740.16953659056
"randomforest","zone.2","period 3",1827.6962623596
"randomforest","zone.2","period 4",1877.52249526972
"randomforest","zone.20","period 1",1497.01212120054
"randomforest","zone.20","period 2",1686.32850837698
"randomforest","zone.20","period 3",1725.15820693968
"randomforest","zone.20","period 4",1775.80858993529
"randomforest","zone.3","period 1",1633.54619407627
"randomforest","zone.3","period 2",1786.40907669066
"randomforest","zone.3","period 3",1818.87828254698
"randomforest","zone.3","period 4",1894.25953674311
"randomforest","zone.4","period 1",1042.29188156127
"randomforest","zone.4","period 2",1147.88223457274
"randomforest","zone.4","period 3",1173.60461235045
"randomforest","zone.4","period 4",1236.39739227292
"randomforest","zone.5","period 1",1212.11427307128
"randomforest","zone.5","period 2",1355.02620124813
"randomforest","zone.5","period 3",1367.83462333677
"randomforest","zone.5","period 4",1432.58509826657
"randomforest","zone.6","period 1",1575.7859649658
"randomforest","zone.6","period 2",1742.65127563475
"randomforest","zone.6","period 3",1793.25561523432
"randomforest","zone.6","period 4",1878.53763008115
"randomforest","zone.7","period 1",1548.53106117247
"randomforest","zone.7","period 2",1754.63555717466
"randomforest","zone.7","period 3",1810.46563911437
"randomforest","zone.7","period 4",1856.80985259999
"randomforest","zone.8","period 1",1151.82895660398
"randomforest","zone.8","period 2",1271.54166793822
"randomforest","zone.8","period 3",1308.16923332213
"randomforest","zone.8","period 4",1363.20701980589
"randomforest","zone.9","period 1",1357.31065177915
"randomforest","zone.9","period 2",1464.33890151975
"randomforest","zone.9","period 3",1509.17991256713
"randomforest","zone.9","period 4",1582.84061431884
"averageARIMA","subs.5","period 1",4.4588031768798
